Epithelial sample ID,Study ID,Haematological sample ID,Study ID,Neurological sample ID,Study ID,Sarcoma Sample ID,Study ID,Matched Normal sample ID,Study ID
TCGA-A7-A13E-01A,BRCA,TARGET-20-PAWXSX-09A,AML,TCGA-S9-A6TY-01A,LGG,TCGA-DX-A6B7-01A,TCGA_SARC,,
TCGA-A2-A0EY-01A,BRCA,TARGET-20-PAURDN-09A,AML,TCGA-DH-5143-01A,LGG,TCGA-DX-A8BU-01A,TCGA_SARC,,
TCGA-C8-A134-01A,BRCA,TARGET-20-PAXJSM-09A,AML,TCGA-QH-A6CY-01A,LGG,TCGA-HS-A5NA-01A,TCGA_SARC,,
TCGA-BH-A18V-01A,BRCA,TARGET-20-PAXBAZ-09A,AML,TCGA-DB-A64W-01A,LGG,TCGA-IF-A3RQ-01A,TCGA_SARC,,
TCGA-EW-A1IZ-01A,BRCA,TARGET-20-PANUUU-09A,AML,TCGA-HT-A615-01A,LGG,TCGA-DX-A6YV-01A,TCGA_SARC,,
TCGA-EW-A6SB-01A,BRCA,TARGET-20-PATGRP-09A,AML,TCGA-TM-A84H-01A,LGG,TCGA-DX-A6BF-01A,TCGA_SARC,,
TCGA-AR-A24S-01A,BRCA,TARGET-20-PAXETX-09A,AML,TCGA-CS-5393-01A,LGG,TCGA-DX-AB36-01A,TCGA_SARC,,
TCGA-E9-A5UP-01A,BRCA,TARGET-20-PAVWJV-09A,AML,TCGA-TM-A84B-01A,LGG,TCGA-DX-A6BK-01A,TCGA_SARC,,
TCGA-S3-A6ZG-01A,BRCA,TARGET-20-PATIVW-09A,AML,TCGA-DU-5870-01A,LGG,TCGA-DX-A6YT-01A,TCGA_SARC,,
TCGA-E9-A24A-01A,BRCA,TARGET-20-PANDDC-09A,AML,TCGA-HT-8107-01A,LGG,TCGA-DX-A3M1-01A,TCGA_SARC,,
TCGA-D8-A4Z1-01A,BRCA,TARGET-20-PASZJT-09A,AML,TCGA-HT-7467-01A,LGG,TCGA-K1-A42X-01A,TCGA_SARC,,
TCGA-D8-A1JN-01A,BRCA,TARGET-20-PAWBVL-09A,AML,TCGA-DU-5849-01A,LGG,TCGA-DX-A8BP-01A,TCGA_SARC,,
TCGA-AN-A0FW-01A,BRCA,TARGET-20-PAVTLN-09A,AML,TCGA-HT-7692-01A,LGG,TCGA-DX-A3LW-01A,TCGA_SARC,,
TCGA-E9-A1RE-01A,BRCA,TARGET-20-PAXJFT-09A,AML,TCGA-S9-A7QW-01A,LGG,TCGA-QQ-A8VG-01A,TCGA_SARC,,
TCGA-AN-A0XL-01A,BRCA,TARGET-20-PAUSKR-09A,AML,TCGA-FG-A4MU-01B,LGG,TCGA-HB-A2OT-01A,TCGA_SARC,,
TCGA-A2-A0EU-01A,BRCA,TARGET-20-PAWRIY-09A,AML,TCGA-DU-8162-01A,LGG,TCGA-DX-A2J4-01A,TCGA_SARC,,
TCGA-D8-A1XT-01A,BRCA,TARGET-20-PATBPW-09A,AML,TCGA-HT-A61C-01A,LGG,TCGA-DX-AB2Q-01A,TCGA_SARC,,
TCGA-AN-A0FT-01A,BRCA,TARGET-20-PASCZU-09A,AML,TCGA-P5-A5F0-01A,LGG,TCGA-DX-A6YU-01A,TCGA_SARC,,
TCGA-AO-A03R-01A,BRCA,TARGET-20-PAVIZT-09A,AML,TCGA-HT-7874-01A,LGG,TCGA-PC-A5DP-01A,TCGA_SARC,,
TCGA-A7-A13D-01B,BRCA,TARGET-20-PAWWMZ-09A,AML,TCGA-DU-6407-02A,LGG,TCGA-SG-A6Z7-01A,TCGA_SARC,,
TCGA-AN-A0FS-01A,BRCA,TARGET-20-PASNAL-09A,AML,TCGA-DU-7007-01A,LGG,TCGA-FX-A3NK-01A,TCGA_SARC,,
TCGA-AN-A0AT-01A,BRCA,TARGET-20-PAEERJ-09A,AML,TCGA-S9-A7R2-01A,LGG,TCGA-DX-A1L3-01A,TCGA_SARC,,
TCGA-BH-A0B4-01A,BRCA,TARGET-20-PATAIY-09A,AML,TCGA-HW-A5KK-01A,LGG,TCGA-3R-A8YX-01A,TCGA_SARC,,
TCGA-A2-A0YC-01A,BRCA,TARGET-20-PAWMJY-09A,AML,TCGA-E1-A7Z6-01A,LGG,TCGA-SI-A71P-01A,TCGA_SARC,,
TCGA-B6-A0IN-01A,BRCA,TARGET-20-PATJUT-09A,AML,TCGA-DU-6405-01A,LGG,TCGA-IE-A4EI-01A,TCGA_SARC,,
